active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
TRUE,12/26/2011,6,0,SAS,HOME,MEM,WIN,813,2,9,1,5,1,4,4,2,1,2,0,1,1,4
TRUE,12/28/2011,2,10,SAS,HOME,LAC,WIN,1205,1,3,0,0,0,0,1,7,0,0,0,0,1,2.7
TRUE,12/29/2011,8,1,SAS,AWAY,HOU,LOSS,1479,3,7,0,3,2,4,2,2,0,1,0,0,0,6.5
TRUE,12/31/2011,7,-15,SAS,HOME,UTA,WIN,922,3,5,1,1,0,1,0,6,0,1,1,1,2,6
TRUE,1/2/2012,6,-2,SAS,AWAY,MIN,LOSS,1042,2,6,0,0,2,2,2,1,1,2,0,0,1,6.6
TRUE,1/4/2012,2,-1,SAS,HOME,GSW,WIN,484,1,2,0,0,0,1,1,1,1,0,0,0,0,2.3
TRUE,1/5/2012,4,-5,SAS,HOME,DAL,WIN,1154,2,4,0,2,0,0,0,1,0,0,0,0,1,1.9
TRUE,1/7/2012,6,2,SAS,HOME,DEN,WIN,1185,3,4,0,0,0,0,1,4,1,1,0,1,1,6.6
TRUE,1/8/2012,13,-4,SAS,AWAY,OKC,LOSS,2046,6,10,0,0,1,1,3,7,2,2,0,1,1,14.6
TRUE,1/10/2012,19,-5,SAS,AWAY,MIL,LOSS,1976,9,12,0,1,1,1,2,1,2,4,1,0,2,21.2
TRUE,1/11/2012,11,13,SAS,HOME,HOU,WIN,2264,5,12,0,0,1,2,3,5,0,0,2,1,1,7.8
TRUE,1/13/2012,11,1,SAS,HOME,POR,WIN,2093,5,9,1,1,0,1,2,3,1,2,0,2,1,8.9
TRUE,1/15/2012,12,9,SAS,HOME,PHX,WIN,1958,4,8,2,4,2,2,0,8,1,1,1,2,0,10.8
TRUE,1/17/2012,12,-9,SAS,AWAY,MIA,LOSS,1856,5,12,2,5,0,0,5,1,1,1,0,0,2,10.3
TRUE,1/18/2012,2,-4,SAS,AWAY,ORL,WIN,1445,1,4,0,0,0,0,0,3,2,1,1,0,3,2.4
TRUE,1/20/2012,4,-6,SAS,HOME,SAC,LOSS,1268,0,3,0,3,4,4,2,3,2,1,0,1,0,5.6
TRUE,1/21/2012,8,-9,SAS,AWAY,HOU,LOSS,2311,4,13,0,1,0,0,7,4,0,1,1,2,3,5.1
TRUE,1/23/2012,0,-7,SAS,AWAY,NOH,WIN,431,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
TRUE,1/25/2012,8,9,SAS,HOME,ATL,WIN,1785,4,7,0,0,0,0,1,4,1,2,0,1,3,7.1
