active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
TRUE,10/28/2009,14,7,GOLDEN STATE WARRIORS,HOME,HOU,LOSS,2139,7,12,0,1,0,0,1,1,7,4,0,2,2,15.5
TRUE,10/30/2009,12,-19,GOLDEN STATE WARRIORS,AWAY,PHO,LOSS,2345,5,9,2,3,0,0,0,2,4,1,0,3,5,7.1
TRUE,11/4/2009,7,-4,GOLDEN STATE WARRIORS,HOME,MEM,WIN,1707,3,6,1,2,0,0,0,5,9,2,0,1,4,11.2
TRUE,11/6/2009,5,-13,GOLDEN STATE WARRIORS,HOME,LAC,LOSS,1292,1,5,0,1,3,4,0,1,3,0,0,0,6,1.5
TRUE,11/8/2009,9,-5,GOLDEN STATE WARRIORS,AWAY,SAC,LOSS,1875,4,8,1,2,0,2,1,3,6,0,0,5,4,3.4
TRUE,11/9/2009,8,28,GOLDEN STATE WARRIORS,HOME,MIN,WIN,1789,2,8,1,2,3,4,0,2,5,1,0,2,1,5.5
TRUE,11/11/2009,6,-13,GOLDEN STATE WARRIORS,AWAY,IND,LOSS,1271,3,7,0,2,0,0,0,1,4,1,0,3,2,2.6
TRUE,11/13/2009,0,3,GOLDEN STATE WARRIORS,AWAY,NYK,WIN,155,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3
TRUE,11/14/2009,14,2,GOLDEN STATE WARRIORS,AWAY,MIL,LOSS,1557,6,9,2,2,0,0,1,3,2,2,1,1,5,12.8
TRUE,11/17/2009,14,-4,GOLDEN STATE WARRIORS,AWAY,CLE,LOSS,2478,6,10,2,6,0,1,0,5,7,0,0,3,2,11.6
TRUE,11/18/2009,13,5,GOLDEN STATE WARRIORS,AWAY,BOS,LOSS,2124,4,10,1,4,4,4,0,0,7,4,0,6,3,9.3
TRUE,11/20/2009,12,18,GOLDEN STATE WARRIORS,HOME,POR,WIN,2734,3,9,2,3,4,5,0,6,8,1,1,1,6,12.2
TRUE,11/24/2009,18,16,GOLDEN STATE WARRIORS,AWAY,DAL,WIN,2088,6,12,2,4,4,4,1,3,6,3,0,4,5,14.8
TRUE,11/25/2009,11,-7,GOLDEN STATE WARRIORS,AWAY,SAS,LOSS,2052,5,16,1,4,0,0,1,6,5,1,2,6,3,3
TRUE,11/28/2009,13,-23,GOLDEN STATE WARRIORS,HOME,LAS,LOSS,2161,5,15,1,5,2,2,1,3,8,0,0,1,0,10.7
TRUE,11/30/2009,7,-7,GOLDEN STATE WARRIORS,HOME,IND,WIN,1190,2,5,1,2,2,2,0,2,4,3,0,2,2,7.9
TRUE,12/1/2009,10,-14,GOLDEN STATE WARRIORS,AWAY,DEN,LOSS,2442,4,14,2,6,0,0,1,3,6,2,2,1,2,9.2
TRUE,12/3/2009,11,-3,GOLDEN STATE WARRIORS,HOME,HOU,LOSS,1911,4,8,1,3,2,2,1,4,2,2,1,4,3,7.8
TRUE,12/5/2009,13,-8,GOLDEN STATE WARRIORS,HOME,ORL,LOSS,2769,6,12,0,2,1,1,0,3,3,1,0,3,4,6.4
TRUE,12/7/2009,22,-17,GOLDEN STATE WARRIORS,AWAY,OKC,LOSS,2186,9,14,2,4,2,2,0,4,2,4,0,5,5,15.4
TRUE,12/9/2009,14,7,GOLDEN STATE WARRIORS,AWAY,NJN,WIN,1812,6,13,1,4,1,2,1,3,4,3,0,4,4,8.7
TRUE,12/11/2009,6,-8,GOLDEN STATE WARRIORS,AWAY,CHI,LOSS,1635,3,9,0,3,0,0,0,3,1,1,0,0,0,3.5
TRUE,12/12/2009,19,-11,GOLDEN STATE WARRIORS,AWAY,DET,LOSS,2270,5,10,3,4,6,6,0,2,4,4,1,4,4,16.5
TRUE,12/14/2009,14,-14,GOLDEN STATE WARRIORS,AWAY,PHI,LOSS,2184,5,13,1,4,3,4,0,4,4,4,1,4,5,9.2
TRUE,12/16/2009,8,-12,GOLDEN STATE WARRIORS,HOME,SAS,LOSS,1503,4,11,0,2,0,0,1,3,3,4,0,1,5,6.6
TRUE,12/18/2009,27,-10,GOLDEN STATE WARRIORS,HOME,WSH,LOSS,2775,9,17,5,9,4,4,1,7,4,3,0,2,4,23.7
TRUE,12/22/2009,14,-3,GOLDEN STATE WARRIORS,AWAY,MEM,LOSS,2477,6,15,2,6,0,0,1,6,8,0,0,4,2,9.2
TRUE,12/23/2009,17,-1,GOLDEN STATE WARRIORS,AWAY,NOH,LOSS,2821,6,13,3,5,2,2,0,10,7,2,0,2,5,16.2
TRUE,12/26/2009,13,6,GOLDEN STATE WARRIORS,HOME,PHO,WIN,1593,4,10,3,4,2,2,1,2,4,3,0,1,4,12.1
TRUE,12/28/2009,0,-16,GOLDEN STATE WARRIORS,HOME,BOS,WIN,641,0,4,0,1,0,1,0,2,0,1,0,1,3,-3.8
TRUE,12/29/2009,15,-7,GOLDEN STATE WARRIORS,AWAY,LAS,LOSS,1400,6,10,0,1,3,3,1,2,3,0,0,4,3,8.6
TRUE,1/2/2010,9,-6,GOLDEN STATE WARRIORS,AWAY,POR,LOSS,1740,4,10,1,2,0,0,0,1,1,1,0,3,4,1
TRUE,1/5/2010,26,-1,GOLDEN STATE WARRIORS,AWAY,DEN,LOSS,2418,10,13,6,6,0,0,0,5,6,3,0,2,3,26.4
TRUE,1/6/2010,16,11,GOLDEN STATE WARRIORS,AWAY,MIN,WIN,1811,7,11,0,2,2,2,0,1,4,2,0,1,6,12.8
TRUE,1/8/2010,12,5,GOLDEN STATE WARRIORS,HOME,SAC,WIN,2048,5,10,1,2,1,2,0,3,4,1,0,2,3,8.1
TRUE,1/11/2010,21,1,GOLDEN STATE WARRIORS,HOME,CLE,LOSS,2167,8,15,1,2,4,5,0,7,5,1,1,2,4,17
TRUE,1/13/2010,9,-12,GOLDEN STATE WARRIORS,HOME,MIA,LOSS,1954,3,10,3,5,0,0,1,3,4,0,0,4,1,3.2
TRUE,1/15/2010,18,-9,GOLDEN STATE WARRIORS,HOME,MIL,LOSS,2880,7,17,1,4,3,3,0,6,4,6,1,4,6,13.8
TRUE,1/18/2010,26,21,GOLDEN STATE WARRIORS,HOME,CHI,WIN,2608,9,18,5,8,3,3,2,8,6,1,1,5,4,20.1
TRUE,1/20/2010,15,-2,GOLDEN STATE WARRIORS,HOME,DEN,LOSS,2927,6,17,3,8,0,0,0,3,6,1,0,3,2,7.8
TRUE,1/22/2010,32,32,GOLDEN STATE WARRIORS,HOME,NJN,WIN,2880,11,21,3,7,7,8,0,2,7,4,0,2,4,27.2
TRUE,1/23/2010,25,-10,GOLDEN STATE WARRIORS,AWAY,PHO,LOSS,2426,10,25,4,9,1,1,0,5,2,0,0,1,4,11.8
TRUE,1/26/2010,27,9,GOLDEN STATE WARRIORS,AWAY,SAC,LOSS,2682,10,22,3,10,4,5,1,8,6,3,0,1,3,23.3
TRUE,1/27/2010,15,-5,GOLDEN STATE WARRIORS,HOME,NOH,LOSS,2439,7,13,1,3,0,0,0,5,8,3,0,5,4,12.2
TRUE,1/29/2010,22,0,GOLDEN STATE WARRIORS,HOME,CHB,LOSS,2460,8,15,2,4,4,4,0,1,9,3,0,1,3,22.1
TRUE,1/31/2010,14,-18,GOLDEN STATE WARRIORS,AWAY,OKC,LOSS,2152,4,10,2,2,4,4,2,2,5,1,0,5,2,9.3
TRUE,2/2/2010,14,-22,GOLDEN STATE WARRIORS,AWAY,HOU,LOSS,1792,6,18,2,5,0,0,1,1,4,1,0,0,1,8.2
TRUE,2/3/2010,6,-8,GOLDEN STATE WARRIORS,AWAY,DAL,LOSS,1614,1,6,0,2,4,4,0,0,3,0,0,3,2,0.5
TRUE,2/6/2010,23,2,GOLDEN STATE WARRIORS,HOME,OKC,LOSS,1625,9,15,3,7,2,3,0,1,4,2,0,3,3,16.6
TRUE,2/8/2010,25,-10,GOLDEN STATE WARRIORS,HOME,DAL,LOSS,2880,9,20,1,5,6,6,0,2,9,2,0,3,4,18.9
TRUE,2/10/2010,36,35,GOLDEN STATE WARRIORS,HOME,LAC,WIN,2747,11,22,7,11,7,8,0,10,13,3,0,6,4,32.1
TRUE,2/16/2010,11,-4,GOLDEN STATE WARRIORS,AWAY,LAS,LOSS,2618,5,21,1,10,0,0,0,10,8,1,0,4,5,1.9
TRUE,2/17/2010,24,36,GOLDEN STATE WARRIORS,HOME,SAC,WIN,2377,10,15,1,4,3,3,1,5,15,3,0,3,2,29.4
TRUE,2/19/2010,13,0,GOLDEN STATE WARRIORS,HOME,UTA,LOSS,2340,4,9,3,6,2,2,1,5,7,3,0,10,1,8
TRUE,2/21/2010,32,5,GOLDEN STATE WARRIORS,HOME,ATL,WIN,2725,13,18,1,3,5,5,2,7,3,1,0,5,3,25
TRUE,2/23/2010,17,-17,GOLDEN STATE WARRIORS,HOME,PHI,LOSS,2279,8,22,1,8,0,1,1,5,5,0,0,2,2,7.3
TRUE,2/25/2010,30,-24,GOLDEN STATE WARRIORS,HOME,DEN,LOSS,2499,11,19,2,5,6,6,1,6,13,2,1,2,1,33
TRUE,2/27/2010,27,7,GOLDEN STATE WARRIORS,HOME,DET,WIN,2880,11,25,3,6,2,3,1,4,4,1,0,5,4,12.6
TRUE,3/2/2010,18,1,GOLDEN STATE WARRIORS,AWAY,MIA,LOSS,2607,7,17,3,8,1,1,0,2,8,2,0,3,5,12.1
TRUE,3/3/2010,9,-25,GOLDEN STATE WARRIORS,AWAY,ORL,LOSS,1931,3,12,1,2,2,2,0,3,7,2,0,5,2,3.8
TRUE,3/5/2010,31,-5,GOLDEN STATE WARRIORS,AWAY,ATL,LOSS,2880,11,19,5,9,4,4,1,4,11,2,0,7,1,26.3
TRUE,3/6/2010,25,-11,GOLDEN STATE WARRIORS,AWAY,CHB,LOSS,2880,8,23,4,8,5,6,2,3,4,0,0,3,1,13.4
TRUE,3/8/2010,12,-14,GOLDEN STATE WARRIORS,AWAY,NOH,LOSS,2039,5,13,2,4,0,0,0,3,6,1,0,4,2,6.2
TRUE,3/11/2010,15,-10,GOLDEN STATE WARRIORS,HOME,POR,LOSS,1983,6,15,2,7,1,1,2,3,3,2,0,4,5,7.3
TRUE,3/13/2010,35,6,GOLDEN STATE WARRIORS,HOME,TOR,WIN,2541,13,21,5,8,4,4,2,4,10,4,1,2,1,37.4
TRUE,3/15/2010,29,-9,GOLDEN STATE WARRIORS,HOME,LAS,LOSS,2030,11,19,5,9,2,2,0,5,9,1,0,0,4,27.3
TRUE,3/20/2010,9,-4,GOLDEN STATE WARRIORS,AWAY,MEM,LOSS,1520,4,10,1,3,0,0,0,4,6,0,1,2,2,6.9
TRUE,3/22/2010,14,-8,GOLDEN STATE WARRIORS,HOME,PHO,LOSS,2035,6,15,2,5,0,0,1,3,8,4,0,1,4,14.5
TRUE,3/24/2010,30,27,GOLDEN STATE WARRIORS,HOME,MEM,WIN,2423,12,19,4,6,2,2,1,4,11,4,0,7,3,26.9
